1 1 98.999209 
1 2 98.998373 
1 3 98.997508 
1 4 98.996631 
1 5 98.995756 
1 6 98.994903 
1 7 98.994051 
1 8 98.993136 
1 9 98.992162 
1 10 98.991149 
1 11 98.990107 
1 12 98.989057 
1 13 98.987993 
1 14 98.986849 
1 15 98.985610 
1 16 98.984296 
1 17 98.982919 
1 18 98.981494 
1 19 98.980028 
1 20 98.978465 
1 21 98.976767 
1 22 98.974951 
1 23 98.973027 
1 24 98.971008 
1 25 98.968908 
1 26 98.966686 
1 27 98.964283 
1 28 98.961702 
1 29 98.958955 
1 30 98.956045 
1 31 98.952986 
1 32 98.949753 
1 33 98.946272 
1 34 98.942528 
1 35 98.938527 
1 36 98.934268 
1 37 98.929757 
1 38 98.924978 
1 39 98.919853 
1 40 98.914339 
1 41 98.908437 
1 42 98.902137 
1 43 98.895433 
1 44 98.888310 
1 45 98.880694 
1 46 98.872508 
1 47 98.863734 
1 48 98.854350 
1 49 98.844329 
1 50 98.833645 
1 51 98.822225 
1 52 98.809953 
1 53 98.796776 
1 54 98.782648 
1 55 98.767508 
1 56 98.751302 
1 57 98.733937 
1 58 98.715255 
1 59 98.695140 
1 60 98.673499 
1 61 98.650221 
1 62 98.625183 
1 63 98.598240 
1 64 98.569165 
1 65 98.537734 
1 66 98.503754 
1 67 98.467001 
1 68 98.427223 
1 69 98.384135 
1 70 98.337359 
1 71 98.286456 
1 72 98.230993 
1 73 98.170484 
1 74 98.104360 
1 75 98.031975 
1 76 97.952533 
1 77 97.865065 
1 78 97.768500 
1 79 97.661602 
1 80 97.542883 
1 81 97.410565 
1 82 97.262471 
1 83 97.095878 
1 84 96.907480 
1 85 96.693190 
1 86 96.447821 
1 87 96.164703 
1 88 95.835107 
1 89 95.447335 
1 90 94.985460 
1 91 94.427275 
1 92 93.740725 
1 93 92.877791 
1 94 91.763231 
1 95 90.272310 
1 96 88.183418 
1 97 85.067209 
1 98 79.998586 
1 99 70.723559 
1 100 50.979126 

